GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,RoleTemplateService,175,3,10,0,35,1,11,1,6,1
demo,com.example.demo.service,CustomUserDetailsService,64,3,6,0,12,1,5,1,2,1
demo,com.example.demo.service,UserService,332,313,6,16,81,76,18,22,14,15
demo,com.example.demo.service,RoleService,561,3,24,0,111,1,39,1,27,1
demo,com.example.demo.service,AuditLogService,114,42,0,0,15,10,8,3,8,3
demo,com.example.demo.service,PermissionService,486,3,44,0,82,1,45,1,23,1
demo,com.example.demo.interceptor,PermissionInterceptor,89,3,12,0,25,1,10,1,4,1
demo,com.example.demo.controller,PageController,34,40,3,1,9,12,3,4,1,4
demo,com.example.demo.controller,UserController,39,55,0,0,12,13,2,6,2,6
demo,com.example.demo.controller,AuthController,16,3,4,0,5,1,3,1,1,1
demo,com.example.demo.controller,AdminController,1590,3,89,0,371,1,94,1,47,1
demo,com.example.demo.entity,Permission,88,69,0,0,27,23,19,8,19,8
demo,com.example.demo.entity,User,0,175,0,0,0,60,0,35,0,35
demo,com.example.demo.entity,RoleTemplate,76,8,0,0,27,3,16,1,16,1
demo,com.example.demo.entity,Role,83,55,0,0,28,15,19,4,19,4
demo,com.example.demo.entity,AuditLog,73,33,0,0,25,15,18,5,18,5
demo,com.example.demo.config,DataInitializer,0,777,1,7,0,181,1,8,0,5
demo,com.example.demo.config,ThymeleafConfig,0,7,0,0,0,2,0,2,0,2
demo,com.example.demo.config,WebMvcConfig,0,43,0,0,0,5,0,2,0,2
demo,com.example.demo.config,H2ConsoleConfig,0,3,0,0,0,1,0,1,0,1
demo,com.example.demo.config,SecurityConfig,0,136,0,0,0,28,0,8,0,8
demo,com.example.demo.config,JacksonConfig,0,7,0,0,0,2,0,2,0,2
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.dialect,HasPermissionAttributeTagProcessor,72,0,6,0,22,0,8,0,5,0
demo,com.example.demo.dialect,PermissionDialect,13,6,0,0,3,2,1,1,1,1
demo,com.example.demo.dto,ApiResponse,0,77,0,0,0,25,0,14,0,14
demo,com.example.demo.dto,UserDTO,0,64,0,0,0,28,0,16,0,16
